	Gene	BST_2_cut1	BST_5_cut1	BST_6_cut1	BST_7_cut1	BST_8_cut1	BST_9_cut1	BST_10_cut1	BST_11_cut1	BST_12_cut1	BST_13_cut1	BST_15_cut1	BST_16_cut1	BST_17_cut1	BST_20_cut1	BST_22_cut1	BST_23_cut1	BST_26_cut1	BST_27_cut1	BST_28_cut1	BST_30_cut1	BST_31_cut1	BST_32_cut1	BST_33_cut1	BST_35_cut1	BST_36_cut1	BST_37_cut1	BST_38_cut1	BST_39_cut1	baseMean	log2FoldChange	lfcSE	pvalue	padj
686	hsa-miR-1185-5p&iso_3p:+1&iso-22-FKH1NYVW5	0	0	0.835081708200689	0	0	0	0	3.23487653285902	0	0	0	0	1.45419385533652	0	0	0	0	2.12565921086169	1.0033343367535	0	0.915607612849827	0	1.37136538953624	0	2.89156802655731	0.700580861828885	0	0	0.519009554813703	-0.0142859390384383	0.0925081880080732	0.0894621386413466	NA
687	hsa-miR-1197&NA&iso-21-V22QR7E9E	1.15035991122119	5.1203608472323	1.67016341640138	4.96234525426688	0	2.48835850566622	1.49394498388797	8.08719133214756	1.2075297331212	0	1.2981063986113	1.89188536232658	3.63548463834129	1.50800408731136	1.14752907605769	1.00012295397637	1.25492020881926	2.12565921086169	1.0033343367535	0	0.915607612849827	3.06418141573583	1.37136538953624	2.33244854181175	0	1.05087129274333	0	0	1.77784908963145	-0.00725736069492156	0.0903434430378746	0.626569846087588	NA
688	hsa-miR-12136&NA&iso-18-OB1690DV	4.60143964488476	3.07221650833938	11.6911439148096	4.96234525426688	12.3435531711824	9.95343402266487	6.72275242749586	4.85231479928854	3.6225891993636	12.6541359093817	2.5962127972226	2.83782804348987	6.54387234901432	4.52401226193408	2.29505815211539	17.0020902175984	10.039361670554	2.12565921086169	8.02667469402801	6.00964143538453	10.9872913541979	5.10696902622639	5.21118848023771	4.66489708362349	2.89156802655731	7.70638948011773	4.51194992375903	3.90822242421295	6.48088612438618	0.0412083507364746	0.100264532485184	0.130812661429094	NA
689	hsa-miR-12136&iso_3p:-1&iso-17-OB1690M	4.60143964488476	6.14443301667876	10.856062206609	6.06508864410397	12.3435531711824	11.612339693109	13.4455048549917	4.85231479928854	0	5.42320110402074	3.8943191958339	0.94594268116329	7.27096927668258	3.01600817462272	5.73764538028847	4.0004918159055	7.52952125291553	3.18848881629253	3.0100030102605	0.858520205054933	3.66243045139931	9.1925442472075	4.11409616860872	3.49867281271762	4.33735203983597	3.50290430914442	2.25597496187951	13.6787784847453	5.67995001497954	0.0272165657102769	0.0940320697956131	0.227916842674531	NA
690	hsa-miR-12136&iso_3p:-2&iso-16-OB16900	0	0	0	0.551371694918543	1.37150590790915	0.829452835222072	0	0	0	0.903866850670123	0	0	0	0	0	0	0	0	0	0	0	1.02139380524528	1.09709231162899	0	1.44578401327866	0	0	0	0.257873836388315	-0.000286332387073474	0.0909778047217882	0.930452682921522	NA
691	hsa-miR-12136&iso_5p:+1&iso-17-BBSQ6KJ	4.60143964488476	3.07221650833938	4.17540854100344	0	13.7150590790915	2.48835850566622	0.746972491943984	4.85231479928854	0	1.80773370134025	3.8943191958339	0	0.727096927668258	9.04802452386816	1.14752907605769	0	1.25492020881926	1.06282960543084	1.0033343367535	1.71704041010987	2.74682283854948	4.08557522098111	3.29127693488697	2.33244854181175	0	0.700580861828885	0	1.95411121210647	2.51519332736658	0.0122247223118204	0.0912941496044957	0.373169823454303	NA
692	hsa-miR-12136&iso_5p:+2&iso-16-B0845JD	9.20287928976952	4.09628867778584	11.6911439148096	3.30823016951126	30.1731299740014	15.7596038692194	2.24091747583195	9.70462959857707	3.6225891993636	6.32706795469086	9.08674479027911	0.94594268116329	6.54387234901432	6.03201634924544	1.14752907605769	21.0025820335039	11.2942818793733	5.31414802715422	12.040012041042	15.4533636909888	10.0716837413481	7.14975663671694	5.48546155814495	9.32979416724699	10.1204880929506	7.00580861828885	2.25597496187951	0	8.44306931492709	0.0179569203193529	0.0911703955024395	0.389216458539422	NA
693	hsa-miR-122-3p&iso_3p:-2&iso-20-BVJX8F4B	0	0	2.50524512460207	0	4.11451772372746	0.829452835222072	0.746972491943984	2.42615739964427	0	4.51933425335062	9.08674479027911	0	0	0	1.14752907605769	0	3.76476062645777	1.06282960543084	9.03000903078151	3.43408082021973	2.74682283854948	0	0	0	0	1.75145215457221	0	0	1.68449674181567	0.0135516527316229	0.0921570753802341	0.158038662373316	NA
694	hsa-miR-122-3p&iso_3p:-3&iso-19-BVJX8FHF	0	1.02407216944646	0.835081708200689	0	2.74301181581831	0	0	1.61743826642951	0	0.903866850670123	6.4905319930565	0	0	0	1.14752907605769	0	0	0	2.006668673507	3.43408082021973	0	0	0	0	0	0	2.25597496187951	0	0.802080583403055	0.00243150587835962	0.09090750924121	0.728000586796351	NA
695	hsa-miR-122-5p&NA&iso-22-909U247NP	8.05251937854833	55.2998971501089	87.6835793610723	28.1199564408457	165.952214857008	165.061114209192	15.6864223308237	111.603240383636	36.225891993636	350.700338060008	532.223623430633	13.2431975362861	52.3509787921146	21.112057222359	40.1635176620193	70.0086067783462	85.3345741997094	98.8431533050685	165.550165564328	212.913010853623	26.552620772645	29.620420352113	43.3351463093451	72.3059047961642	0	55.6961785153963	27.0716995425542	62.5315587874072	94.044342449464	0.0076270170994851	0.0905019341159411	0.591642178565839	0.89526073875656
